title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason
python实习生,4-6K,全职，要求经验不限，本科,科企岛,上海,工作地点：上海-松江区-松江大学城,https://www.zhipin.com/job_detail/7071661550c938951X1_3tm8FFZV.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
金融python开发工程师,7-10K,全职，要求在校/应届，本科,孚厘科技,上海,工作地点：上海-徐汇区-徐汇滨江,https://www.zhipin.com/job_detail/82f56b19050232800nB82925EFVQ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发（高薪急招！！！）,11-22K·13薪,全职，要求3-5年，本科,软通动力,上海,工作地点：上海-浦东新区-金桥,https://www.zhipin.com/job_detail/2694571029319bb91XJ63Nu4EldW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python开发工程师,10-15K·15薪,全职，要求1-3年，本科,上海念觉私募,上海,工作地点：上海-浦东新区-陆家嘴,https://www.zhipin.com/job_detail/3a346852bc5718541Xd72925EVpY.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python后端开发,10-15K,全职，要求5-10年，大专,福瑞股份,上海,工作地点：上海-青浦区-徐泾,https://www.zhipin.com/job_detail/5c4b2e4f06aa513f0nV43du1EFBT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python 后端工程师（上海）,11-12K,全职，要求3-5年，学历不限,讯方技术股份,上海,工作地点：上海-青浦区-徐泾,https://www.zhipin.com/job_detail/c94ef79c698cdc1f0nB-09i4E1FZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python,5-10K,全职，要求经验不限，本科,上海智灵谷人工智...,上海,工作地点：上海-闵行区-莘庄,https://www.zhipin.com/job_detail/309df89d10407f0d0nd_392_ElRU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python,12-13K·14薪,全职，要求1-3年，本科,西安英沃诺克信息技术,上海,工作地点：上海-青浦区-金泽,https://www.zhipin.com/job_detail/0d407074e9da3acc0nB83du-GVZQ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python,200-300元/天,全职，要求，本科,上海华为技术有限公司,上海,工作地点：上海-青浦区-金泽,https://www.zhipin.com/job_detail/70f853ae9d17f3170nBy2d64GVNT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python（接受优秀25届）,15-30K·16薪,全职，要求1年以内，本科,某大型计算机软件公司,上海,工作地点：上海--,https://www.zhipin.com/job_detail/db13c7c9aee876ae03192964F1RR.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python实习生,190-210元/天,全职，要求，本科,承医智能,上海,工作地点：上海-浦东新区-张江,https://www.zhipin.com/job_detail/1fd663f285a69df703143dW5ElRZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python后端工程师,17-25K·14薪,全职，要求1-3年，本科,远宽能源,上海,工作地点：上海-杨浦区-平凉路,https://www.zhipin.com/job_detail/01882053acdd01690nd_392_GVtU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python,11-16K,全职，要求5-10年，大专,深圳市北科检测,上海,工作地点：上海-闵行区-虹桥,https://www.zhipin.com/job_detail/01c1406a78360da70nBy3dq0EVVR.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python实习生,180-200元/天,全职，要求，硕士,万历报关,上海,工作地点：上海-浦东新区-外高桥,https://www.zhipin.com/job_detail/c56012c96d3852e803Ny09u4EVFS.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发实习生,300-350元/天,全职，要求，本科,维岭数科,上海,工作地点：上海-徐汇区-漕河泾,https://www.zhipin.com/job_detail/951641874c3677641Hdz29-_EFtT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python（懂ai,10-15K,全职，要求3-5年，本科,派云科技,上海,工作地点：上海-浦东新区-上南,https://www.zhipin.com/job_detail/89323825347346700nB92dm8FFdT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
开发 | 后端开发  | Python,18-35K·13薪,全职，要求5-10年，本科,熊猫云聘,上海,工作地点：上海-静安区-火车站,https://www.zhipin.com/job_detail/38d699b2da39e7d00nB82du8ElBZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python/Node.js开发工程师,13-16K,全职，要求5-10年，本科,盛秦,上海,工作地点：上海-浦东新区-张江,https://www.zhipin.com/job_detail/5be89c0c5fd49c430nB-2tW5E1dY.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python（偏后端开发）,18-19K,全职，要求3-5年，本科,诚迈科技,上海,工作地点：上海-闵行区-吴泾,https://www.zhipin.com/job_detail/9011458a7edda18e0nB-2t-7EFVZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python-上海,13-18K,全职，要求3-5年，本科,汉朔公司,上海,工作地点：上海-黄浦区-外滩,https://www.zhipin.com/job_detail/d3952836aa048fe00nZ-3t67EVBU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python,12-15K,全职，要求1-3年，本科,深圳睿服科技有限公司,上海,工作地点：上海-静安区-江宁路,https://www.zhipin.com/job_detail/3dd91b9cb0c489260nB92du9ElNT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
27实习-Python开发,350-600元/天,全职，要求，本科,上海从鲸信息技术,上海,工作地点：上海-长宁区-中山公园,https://www.zhipin.com/job_detail/c1f76938322a460f0nVy0tS7FVNW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python,14-15K,全职，要求1-3年，大专,人瑞网络科技,上海,工作地点：上海-浦东新区-张江,https://www.zhipin.com/job_detail/d3feaea13738877c0nB429i9F1dY.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python,13-17K,全职，要求5-10年，大专,上海济让,上海,工作地点：上海-浦东新区-临港,https://www.zhipin.com/job_detail/3d9dcc1156acef740nB52964ElpW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发工程师,15-30K,全职，要求5-10年，本科,广州海之鑫,上海,工作地点：上海-嘉定区-江桥,https://www.zhipin.com/job_detail/463ba3f6b85bd3e81HB809m8F1JR.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python 开发工程师,12-18K·13薪,全职，要求1-3年，大专,上海懿想电子商务,上海,工作地点：上海-徐汇区-漕河泾,https://www.zhipin.com/job_detail/d169caa508d04ffe0nZ52t-4E1tW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python工程师,10-15K,全职，要求1-3年，大专,上海锦途广告制作,上海,工作地点：上海-松江区-九亭,https://www.zhipin.com/job_detail/7fe319a8ebaff9200nB92di_FlRS.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
后端实习生（Python）,200-300元/天,全职，要求，本科,美高域科技开发,上海,工作地点：上海-普陀区-曹杨,https://www.zhipin.com/job_detail/1c848746aa23a59f0nR73N29ElVW.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python高级开发工程师,10-15K,全职，要求1-3年，大专,甚高信息技术,上海,工作地点：上海-普陀区-曹杨,https://www.zhipin.com/job_detail/715da350200ef10a03N-29S1EFZX.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
20000python长期项目餐补车补房补干到退休,15-20K,全职，要求3-5年，本科,虎跃数据,上海,工作地点：上海-杨浦区-五角场,https://www.zhipin.com/job_detail/0006322d8832ef490nB_0tm8F1tT.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发实习生,200-250元/天,全职，要求，本科,上海聚界,上海,工作地点：上海-闵行区-虹桥,https://www.zhipin.com/job_detail/91920fcadf86bde303N72NW6GFZX.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发,19-35K·14薪,全职，要求1-3年，本科,陕西海饼干科技,上海,工作地点：上海-徐汇区-漕河泾,https://www.zhipin.com/job_detail/f4834e29417007aa0nd52Ny7EVBU.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python开发工程师,15-19K,全职，要求3-5年，大专,法本,上海,工作地点：上海-浦东新区-临港,https://www.zhipin.com/job_detail/5a6778120bd6595d0nB_3dW0EldR.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
Python AI智能工程师（视频剪辑方向）,10-15K,全职，要求3-5年，本科,上海弋术建筑设计,上海,工作地点：上海-普陀区-曹杨,https://www.zhipin.com/job_detail/6a82b2a9539f466b0nd_2Ny6EVdZ.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
python,15-30K·14薪,全职，要求经验不限，本科,勇冠睿智,上海,工作地点：上海-青浦区-金泽,https://www.zhipin.com/job_detail/2b92329ed38512b50nZ829y4FVFV.html,boss,0,"AI 评分失败: Error code: 404 - {'error': {'message': 'model is not found', 'type': 'not_found_error', 'code': '5'}}",不推荐,AI 分析失败，无法给出推荐
